prompt_id,model,lever,judge_a_score,judge_b_score,delta,tier_2_criteria,response_text,human_score,judge_a_reasoning,judge_b_reasoning,human_note,arbitration_method
rea-015,gpt-5.4-mini-2026-03-17,batch,0.150,0.800,0.650,"Reasoning must (a) start with £60 paid on 1 Feb, (b) compute the 17 Feb upgrade net charge as (£150 − £60) × 12/28 = 1080/28 ≈ £38.5714, (c) add the £150 paid on 1 Mar, (d) compute the 5 Mar downgrade net credit as (£150 − £30) × 27/31 = 3240/31 ≈ £104.5161, and (e) sum exactly to £60 + 1080/28 + £150 − 3240/31 ≈ £144.0553, rounding to £144.06; intermediate fractions must be correct.","{""reasoning"":""Start with the actual cash paid and then apply the proration credits/charges from the plan changes.\n\n1) 1 Feb billing:\n- Paid £60 for Standard covering 1–28 Feb.\n\n2) 17 Feb upgrade from Standard to Premium:\n- Standard monthly rate = £60 for 28 days, so daily rate = £60/28.\n- Used Standard days = 16 days (1–16 Feb), so used value = 16 × £60/28 = £960/28 = £240/7.\n- Unused Standard days = 12 days (17–28 Feb), so credit = 12 × £60/28 = £720/28 = £180/7.\n- Premium monthly rate = £150 for 28 days in Feb, so daily rate = £150/28.\n- Charge for 12 Premium days = 12 × £150/28 = £1800/28 = £450/7.\n- Net effect of upgrade = charge £450/7 minus credit £180/7 = £270/7.\n\n3) 1 Mar billing:\n- Paid £150 for Premium covering 1–31 Mar.\n\n4) 5 Mar downgrade from Premium to Basic:\n- Premium monthly rate = £150 for 31 days in March, so daily rate = £150/31.\n- Used Premium days = 4 days (1–4 Mar), so used value = 4 × £150/31 = £600/31.\n- Unused Premium days = 27 days (5–31 Mar), so credit = 27 × £150/31 = £4050/31.\n- Basic monthly rate = £30 for 31 days in March, so daily rate = £30/31.\n- Charge for 27 Basic days = 27 × £30/31 = £810/31.\n- Net effect of downgrade = charge £810/31 minus credit £4050/31 = -£3240/31, i.e. a net credit of £3240/31.\n\nNow sum all cash flows net of credits:\n- Initial Feb payment: £60\n- Upgrade net charge: £270/7\n- March payment: £150\n- Downgrade net credit: -£3240/31\n\nTotal = 60 + 270/7 + 150 - 3240/31\n= 210 + 270/7 - 3240/31\n= 210 + (8370 - 22680)/217\n= 210 - 14310/217\n= 210 - 65.967... \n= 144.032258..."",""final_answer"":""£144.03""}",0.450,"Correct intermediate fractions but makes an arithmetic error in the final summation (210 + 8370/217 - 22680/217 should be 210 - 14310/217 ≈ 144.055, not 144.032), arriving at £144.03 instead of £144.06.",It correctly computes all component prorations but makes an arithmetic error in the final sum and gives the wrong rounded final answer.,,human
rea-015,claude-haiku-4-5,baseline,0.200,0.650,0.450,"Reasoning must (a) start with £60 paid on 1 Feb, (b) compute the 17 Feb upgrade net charge as (£150 − £60) × 12/28 = 1080/28 ≈ £38.5714, (c) add the £150 paid on 1 Mar, (d) compute the 5 Mar downgrade net credit as (£150 − £30) × 27/31 = 3240/31 ≈ £104.5161, and (e) sum exactly to £60 + 1080/28 + £150 − 3240/31 ≈ £144.0553, rounding to £144.06; intermediate fractions must be correct.","```json
{
  ""reasoning"": ""Let me work through each transaction step by step.\n\nFEBRUARY 2025:\n\n1. 1 Feb 2025: Customer A paid £60 for Standard plan (1-28 Feb)\n   Amount paid: £60\n\n2. 17 Feb 2025: Upgrade to Premium\n   - Days 1-16 Feb used Standard: 16 days\n   - Days 17-28 Feb used Premium: 12 days\n   \n   Credit for unused Standard days:\n   - Standard plan: £60 for 28 days = £60/28 per day\n   - Unused days: 28 - 16 = 12 days\n   - Credit: 12 × (£60/28) = £720/28 = £180/7\n   \n   Charge for Premium days:\n   - Premium plan: £150 for 31 days (March has 31 days, so we use 31 as the month length for prorating)\n   - Wait, let me reconsider. The upgrade happens in February. For the prorated Premium charge, we need to know the monthly rate. Premium is £150/month. For February (28 days), the daily rate would be £150/28. For the 12 days (17-28 Feb), the charge is:\n   - 12 × (£150/28) = £1800/28 = £450/7\n   \n   Net charge on 17 Feb: £450/7 - £180/7 = £270/7\n   \n   Total paid in February: £60 + £270/7 = £420/7 + £270/7 = £690/7\n\nMARCH 2025:\n\n3. 1 Mar 2025: Billed £150 for Premium plan (1-31 Mar)\n   Amount paid: £150\n\n4. 5 Mar 2025: Downgrade to Basic\n   - Days 1-4 Mar used Premium: 4 days\n   - Days 5-31 Mar used Basic: 27 days\n   \n   Credit for unused Premium days:\n   - Premium plan: £150 for 31 days = £150/31 per day\n   - Unused days: 31 - 4 = 27 days\n   - Credit: 27 × (£150/31) = £4050/31\n   \n   Charge for Basic days:\n   - Basic plan: £30 for 31 days = £30/31 per day\n   - Days: 27 days\n   - Charge: 27 × (£30/31) = £810/31\n   \n   Net charge on 5 Mar: £810/31 - £4050/31 = -£3240/31\n   (This is a credit, so customer receives money back)\n   \n   Total paid in March: £150 - £3240/31 = £4650/31 - £3240/31 = £1410/31\n\nTOTAL ACROSS FEBRUARY AND MARCH:\n\nTotal = £690/7 + £1410/31\n\nTo add these fractions, find common denominator: 7 × 31 = 217\n\n£690/7 = £690 × 31/217 = £21390/217\n£1410/31 = £1410 × 7/217 = £9870/217\n\nTotal = £21390/217 + £9870/217 = £31260/217\n\nDividing: £31260 ÷ 217 = £144.0276...\n\nRounding to nearest penny: £144.03"",
  ""final_answer"": ""£144.03""
}
```",0.450,"The intermediate fractions are correct but the final division of 31260/217 is computed incorrectly as 144.0276 instead of 144.0553, leading to the wrong final answer of £144.03.",Uses the correct proration fractions but makes the final division/rounding wrong and also wraps the JSON in markdown fences.,,human
rea-010,claude-haiku-4-5,output_cap,0.700,0.250,0.450,"Reasoning must allocate tasks across two workers respecting the A-before-B constraint, identifying that Worker 1 can do A then B (4+3=7h, ending 16:00) and Worker 2 can do D then C (5+2=7h, ending 16:00); both finish at 16:00.","I need to find the optimal schedule for two workers to complete all four tasks, where Task B can only start after Task A is complete.

**Given information:**
- Task A: 4 hours (must be done before Task B)
- Task B: 3 hours (depends on Task A)
- Task C: 2 hours (no constraints)
- Task D: 5 hours (no constraints)
- 2 workers available
- Start time: 09:00
- Tasks cannot be interrupted

**Strategy:**
To minimize total completion time, I should:
1. Start Task A immediately (since B depends on it)
2. Have the other worker start on the longest remaining independent task
3. Once Task A completes, start Task B
4. Arrange tasks to balance the workload

**Option 1: Worker 1 does A, then B; Worker 2 does D",0.350,"Begins the correct reasoning and identifies the right approach, but the response is truncated before completing the schedule or stating the final answer of 16:00.",Shows some correct setup and strategy but is truncated before the actual schedule and does not state the final completion time.,,human
rea-018,claude-haiku-4-5,compression,0.050,0.450,0.400,"Reasoning must apply the four steps in the stated order: (a) £400 × 0.88 = £352, (b) £352 × 1.20 = £422.40, (c) £422.40 − £30 = £392.40, and (d) free shipping does not change the total. Final answer £392.40.","```json
{
  ""reasoning"": ""Let me work through Customer A's cart step by step:\n\n1. Starting subtotal (excluding VAT): £400\n\n2. Apply 12% loyalty discount to ex-VAT subtotal:\n   12% of £400 = £48\n   Subtotal after discount = £400 - £48 = £352\n\n3. Apply UK VAT 20% to the discounted ex-VAT subtotal:\n   20% of £352 = £70.40\n   Subtotal with VAT = £352 + £70.40 = £422.40\n\n4. Deduct £30 voucher from VAT-inclusive total:\n   £422.40 - £30 = £392.40\n\n5. Add £15 add-on:\n   £392.40 + £15 = £407.40\n\n6. Free shipping: No shipping charge is added (stated as 'not deducted cart', meaning it's already free/included)\n\nFinal amount Customer A pays: £407.40"",
  ""final_answer"": ""£407.40""
}
```",0.150,"Incorrectly adds a £15 shipping charge despite the policy clearly stating free shipping means no shipping line is added, arriving at the wrong answer of £407.40.","Calculates the discount/VAT/voucher correctly but incorrectly adds the £15 shipping and gives the wrong final amount, plus uses markdown fencing.",,human
rag-006,gpt-5.4-mini-2026-03-17,compression,0.300,0.700,0.400,Answer states 20 children as the cap; should not conflate with the age range (3 to 7) or other numbers in the context.,"{""answer"":""20 children"",""supporting_sentences"":[1]}",0.650,"Correctly states 20 children but cites sentence [1] which is irrelevant to the cap, wrong supporting sentence.","The answer is correct, but the supporting sentence is irrelevant.",,human
cs-013,gpt-5.4-mini-2026-03-17,baseline,0.550,0.950,0.400,Reply acknowledges the dissatisfaction with prior handling and signals a serious internal review without promising a specific outcome or apportioning blame.,"{""category"":""complaint"",""reply"":""Thank you for reaching out and for sharing your concerns about how your recent support ticket was handled. We’ve received your message and are reviewing the case and prior correspondence now.""}",0.800,"Acknowledges concerns and signals review, but doesn't strongly acknowledge the dissatisfaction or signal a 'serious internal review' — it's somewhat generic and mild in tone.","Meets the JSON format, correctly classifies the complaint, acknowledges concerns, and states review without promising an outcome.",,human
rea-015,claude-sonnet-4-6,compression,1.000,0.620,0.380,"Reasoning must (a) start with £60 paid on 1 Feb, (b) compute the 17 Feb upgrade net charge as (£150 − £60) × 12/28 = 1080/28 ≈ £38.5714, (c) add the £150 paid on 1 Mar, (d) compute the 5 Mar downgrade net credit as (£150 − £30) × 27/31 = 3240/31 ≈ £104.5161, and (e) sum exactly to £60 + 1080/28 + £150 − 3240/31 ≈ £144.0553, rounding to £144.06; intermediate fractions must be correct.","I'll work through each billing event carefully.

---

## FEBRUARY

### Step 1: Initial Payment 1 Feb
Customer pays **£60** for Standard, covering 1–28 Feb (28 days).

---

### Step 2: Upgrade on 17 Feb to Premium (£150/month)

**Days used on Standard: 1–16 Feb = 16 days**
**Days remaining on Standard: 17–28 Feb = 12 days**

**Credit for unused Standard days:**
= 12/28 × £60 = £720/28 = **£25.714285...** = **£25.71**

**Charge for remaining days on Premium (17–28 Feb = 12 days):**
= 12/28 × £150 = £1800/28 = **£64.285714...** = **£64.29**

**Net charge on 17 Feb:**
= £64.29 − £25.71 = **£38.58**

---

## FEBRUARY TOTALS

| Transaction | Amount |
|---|---|
| 1 Feb payment | +£60.00 |
| 17 Feb credit (Standard unused) | −£25.71 |
| 17 Feb charge (Premium prorated) | +£64.29 |
| **February total paid** | **£98.58** |

---

## MARCH

### Step 3: 1 Mar — Billed £150 Premium for full March (1–31 Mar)
Customer pays **£150.00**

---

### Step 4: Downgrade on 5 Mar to Basic (£30/month)

**Days used on Premium: 1–4 Mar = 4 days**
**Days remaining on Premium: 5–31 Mar = 27 days**

**Credit for unused Premium days:**
= 27/31 × £150 = £4050/31 = **£130.645161...** = **£130.65**

**Charge for remaining days on Basic (5–31 Mar = 27 days):**
= 27/31 × £30 = £810/31 = **£26.129032...** = **£26.13**

**Net credit on 5 Mar:**
= £130.65 − £26.13 = **£104.52 credit back to customer**

---

## MARCH TOTALS

| Transaction | Amount |
|---|---|
| 1 Mar payment | +£150.00 |
| 5 Mar credit (Premium unused) | −£130.65 |
| 5 Mar charge (Basic prorated) | +£26.13 |
| **March total paid** | **£45.48** |

---

## GRAND TOTAL

| Month | Amount Paid |
|---|---|
| February | £98.58 |
| March | £45.48 |
| **Total** | **£144.06** |

---

### **Total amount paid across February and March: £144.06**",0.800,"Correct final answer of £144.06 with clear step-by-step reasoning. All intermediate fractions are correct. However, the response is not in the requested JSON format, though the mathematical content is fully correct.","The arithmetic and final amount are correct, but it does not follow the required JSON output format and rounds intermediate values.",,human
rea-008,gpt-5.4-2026-03-05,baseline,0.300,0.670,0.370,"Reasoning must (a) compute the Standard credit as £40 × 21/31 ≈ £27.10, (b) compute the Premium charge as £100 × 21/31 ≈ £67.74, and (c) take the difference (Premium charge minus Standard credit) to give approximately £40.65.","{""reasoning"":""Standard plan monthly price is £40 for 31 days in May. Unused Standard period is 21 days (11–31 May), so credit = £40 × 21/31 = £27.096774... = £27.10 rounded to nearest penny.\nPremium plan monthly price is £100 for 31 days. Remaining Premium period is also 21 days, so charge = £100 × 21/31 = £67.741935... = £67.74 rounded to nearest penny.\nAdditional amount due for May = Premium prorated charge − Standard unused credit = £67.74 − £27.10 = £40.64."",""final_answer"":""£40.64""}",0.550,"Rounds the intermediate values before taking the difference, arriving at £40.64 instead of the correct £40.65; this is an incorrect final answer due to premature rounding.","It computes the prorated components but rounds them before subtracting, producing the incorrect final answer of £40.64.",,human
rea-018,claude-sonnet-4-6,compression,0.050,0.400,0.350,"Reasoning must apply the four steps in the stated order: (a) £400 × 0.88 = £352, (b) £352 × 1.20 = £422.40, (c) £422.40 − £30 = £392.40, and (d) free shipping does not change the total. Final answer £392.40.","I need to work through this step by step carefully.

## Step-by-Step Reasoning

**Starting point:** £400 ex-VAT subtotal

**Step 1: Apply 12% loyalty discount to ex-VAT subtotal**
- 12% of £400 = £48
- Post-discount ex-VAT subtotal = £400 - £48 = **£352**

**Step 2: Apply UK VAT at 20% to post-discount ex-VAT subtotal**
- VAT = 20% of £352 = £70.40
- Subtotal inc. VAT = £352 + £70.40 = **£422.40**

**Step 3: Deduct £30 voucher (post-VAT)**
- £422.40 - £30 = **£392.40**

**Step 4: £15 add-on**
- £392.40 + £15 = **£407.40**

**Step 5: Free shipping**
- No shipping charge added (£0)

---

## Final Answer

**Customer A pays £407.40**",0.150,"Incorrectly adds a £15 shipping charge despite the policy clearly stating free shipping means no shipping line is added, arriving at the wrong answer of £407.40.",Calculates through the voucher correctly but incorrectly adds a £15 add-on despite free shipping and is not in the required JSON format.,,human
cs-019,gpt-5.4-2026-03-05,baseline,0.600,0.950,0.350,"Reply acknowledges that multiple issues were raised and signals the overall experience is being taken seriously, without committing to specific outcomes on any one item or promising compensation.","{""category"":""other"",""reply"":""Thanks for reaching out and for outlining the invoice question, delayed SMS codes, and CSV import suggestion. We’ve received your message and will review the details you shared, including the overall experience with your account, as we investigate further.""}",0.900,"Acknowledges multiple issues and mentions overall experience, but categorizes as 'other' rather than 'complaint'; does reference the overall experience which is good.",Valid JSON with a two-sentence reply that acknowledges all issues and the overall account experience while only committing to further review.,,human
rea-010,claude-sonnet-4-6,batch,1.000,0.650,0.350,"Reasoning must allocate tasks across two workers respecting the A-before-B constraint, identifying that Worker 1 can do A then B (4+3=7h, ending 16:00) and Worker 2 can do D then C (5+2=7h, ending 16:00); both finish at 16:00.","I need to find the optimal schedule for 2 workers to complete tasks A(4h), B(3h), C(2h), D(5h) where B must follow A, minimizing completion time.

**Total work:** 4+3+2+5 = 14 hours. With 2 workers, theoretical minimum is 7 hours (09:00 + 7h = 16:00), but constraints may prevent this.

**Key constraint:** B starts only after A completes. So A→B is a chain of 4+3=7 hours minimum.

**Strategy:** Try to schedule the A→B chain on one worker, and fit C and D on the other worker, or interleave optimally.

**Option 1: Worker 1 does A then B, Worker 2 does D then C**
- Worker 1: A (09:00-13:00), B (13:00-16:00) → finishes 16:00
- Worker 2: D (09:00-14:00), C (14:00-16:00) → finishes 16:00
- All done at **16:00**

**Option 2: Worker 1 does A then B, Worker 2 does C then D**
- Worker 1: A (09:00-13:00), B (13:00-16:00) → finishes 16:00
- Worker 2: C (09:00-11:00), D (11:00-16:00) → finishes 16:00
- All done at **16:00**

**Option 3: Can we do better than 16:00?**

What if Worker 2 starts A, and Worker 1 does other tasks, then Worker 1 does B after A completes?

- Worker 1: D (09:00-14:00), then B needs A to be done first
- Worker 2: A (09:00-13:00), then C (13:00-15:00)
- B can start at 13:00 (when A is done). Worker 1 is busy until 14:00, Worker 2 finishes C at 15:00.
- B could start at 13:00 if a worker is free... Worker 1 is busy until 14:00, Worker 2 starts C at 13:00.
- B starts at 14:00 (Worker 1 free): 14:00-17:00. Worse.

**Option 4:** Worker 1 does C then A, Worker 2 does D
- Worker 1: C (09:00-11:00), A (11:00-15:00), B (15:00-18:00) → worse

**Option 5:** What if we split differently - have B start as early as possible?
- To minimize, A must start at 09:00. A finishes at 13:00, B can start at 13:00.
- B finishes at 16:00 at earliest.
- Meanwhile, C+D = 7 hours of work for Worker 2, starting at 09:00 → finishes at 16:00.
- This matches perfectly!

**Option 6:** Could Worker 2 help so B starts earlier? No - A takes 4 hours regardless, so B can't start before 13:00.

The minimum completion time is **16:00**.

**Final schedule:**
- Worker 1: A (09:00–13:00), B (13:00–16:00)
- Worker 2: D (09:00–14:00), C (14:00–16:00)

**16:00**

{""reasoning"": ""Total work = 4+3+2+5 = 14 hours. With 2 workers, theoretical minimum is 7 hours (16:00), but the A→B dependency chain means B cannot start before 13:00 (A takes 4 hours from 09:00).\n\nKey insight: A must start at 09:00, finishes 13:00. B can start at 13:00 earliest, finishes 16:00. So the A→B chain occupies one worker from 09:00–16:00 (7 hours total).\n\nFor Worker 2: remaining tasks are C(2h) and D(5h) = 7 hours total. Starting at ",0.750,"Explores multiple options systematically, correctly identifies the optimal schedule and the theoretical lower bound matching the A→B chain length, arrives at 16:00.","Reasoning and final time are correct, but the response is not JSON-only and the final JSON object is truncated/malformed.",,human
rea-016,gpt-5.4-mini-2026-03-17,batch,0.000,0.350,0.350,"Reasoning must (a) verify conditions a, b, c are met, (b) compute the days between 25 January 2025 and 22 April 2025 as 87 days (6 days remaining in January after the 25th, plus 28 in February, plus 31 in March, plus 22 in April), (c) recognise 87 < 90 so condition d fails, and (d) ignore the irrelevant award and CEO information; conclude not eligible.","{""reasoning"":""Customer D meets the seat requirement because they have 140 seats, which is at least 100. They also meet the contract requirement because they switched to an annual contract on 10 March 2025, so they were on an annual contract when the addendum was signed. The addendum was signed on 22 April 2025, which is before 30 April 2025. For the support escalation condition, the most recent escalation was on 25 January 2025, which is 87 days before 22 April 2025, so there were no escalations in the 90 days immediately preceding the signing date. The award and CEO tenure are irrelevant to the stated criteria. Therefore, Customer D satisfies all four requirements."",""final_answer"":""Eligible""}",0.200,"Incorrect final answer 'Eligible' — miscounts 87 days as being outside the 90-day window when in fact 87 < 90 means the escalation falls within it, failing the central determination.","It verifies several facts and computes 87 days, but incorrectly treats an escalation 87 days before signing as outside the 90-day window and gives the wrong final answer.",,human
cs-013,gpt-5.4-mini-2026-03-17,output_cap,0.620,0.950,0.330,Reply acknowledges the dissatisfaction with prior handling and signals a serious internal review without promising a specific outcome or apportioning blame.,"{""category"":""complaint"",""reply"":""Thank you for reaching out and for bringing this to our attention. We’ve received your complaint and are reviewing the handling of your previous support ticket and follow-up to investigate what happened.""}",0.800,"Acknowledges receipt and mentions investigating, but doesn't explicitly acknowledge dissatisfaction with prior handling and the review doesn't feel particularly 'serious' or internal-focused.","Valid JSON with correct category and a concise two-sentence acknowledgement/review without promising an outcome, though the seriousness is somewhat understated.",,human
cs-013,gpt-5.4-2026-03-05,baseline,0.700,1.000,0.300,Reply acknowledges the dissatisfaction with prior handling and signals a serious internal review without promising a specific outcome or apportioning blame.,"{""category"":""complaint"",""reply"":""We’ve received your complaint regarding the handling of your previous support ticket and the lack of response to your follow-up email. We are reviewing the details of your case, including the ticket history for customer@example.com, and will investigate the matter further.""}",0.850,"Acknowledges the complaint and lack of response, signals investigation, but doesn't explicitly acknowledge the customer's dissatisfaction or frustration, and doesn't strongly signal a 'serious internal review' — more routine in tone.",Fully satisfies the format and content requirements with a clear acknowledgement and internal review signal without commitments.,,human
rea-009,gpt-5.4-2026-03-05,compression,0.600,0.900,0.300,"Reasoning must check all three conditions explicitly: (a) 80 seats ≥ 50, (b) contract is annual, (c) signed 28 February 2025 which is before 31 March 2025; conclude eligible.","{""reasoning"":""The enterprise discount requires two conditions: 1) 50 or more user seats, and 2) annual contract signed before 31 March 2025. Customer C has 80 seats, which meets the seat requirement. Customer C signed the annual contract on 28 February 2025, which is before 31 March 2025. Both conditions are satisfied."",""final_answer"":""Eligible""}",0.750,"Collapses the three conditions into two by merging the annual contract and signing date requirements, failing to explicitly check all three conditions as separate items. Correct final answer but reasoning doesn't match criteria.","Correctly concludes eligibility and mentions all facts, though it frames the requirements as two combined conditions rather than three.",,human
